  //PID root locus
  Kp = 0.00816x10;
  Kd = 0.205x10;
  Ki = 0.000033x10;
Sampling every 200 ms
Sample Number,Current Temperature, Controller Output
783,137.80,3.72
784,137.80,3.72
785,137.50,0.00
786,137.70,2.35
787,137.70,3.72
788,137.80,5.10
789,137.80,3.73
790,137.70,2.36
791,137.80,5.10
792,137.80,3.74
793,137.70,2.37
794,137.80,5.11
795,137.70,2.37
796,137.80,5.12
797,137.80,3.75
798,137.70,3.75
799,137.80,5.12
800,137.80,3.76
801,137.70,2.39
802,137.80,5.13
803,137.70,2.39
804,137.70,2.39
805,137.70,3.76
806,137.80,5.14
807,137.80,3.78
808,137.90,5.15
809,137.80,2.41
810,137.80,3.78
811,137.80,3.79
812,137.90,5.16
813,137.80,2.42
814,137.80,5.16
815,137.80,3.80
816,137.80,3.80
817,137.70,2.43
818,137.70,3.79
819,137.80,5.17
820,137.80,3.81
821,137.80,3.81
822,137.80,3.81
823,137.80,3.82
824,137.80,3.82
825,137.70,2.45
826,137.70,3.82
827,137.70,3.82
828,137.70,3.82
829,137.70,3.82
830,137.80,5.20
831,137.70,2.46
832,137.70,2.46
833,137.60,2.46
834,137.80,6.58
835,137.70,5.20
836,137.80,5.21
837,137.80,3.85
838,137.80,5.22
839,137.80,3.86
840,137.80,3.86
841,137.60,1.11
842,137.70,5.22
843,137.80,5.23
844,137.50,1.11
845,137.60,5.22
846,137.60,3.86
847,137.60,3.86
848,137.80,6.61
849,137.60,1.13
850,137.60,3.87
851,137.70,5.24
852,137.60,2.50
853,137.70,3.88
854,137.70,3.88
855,137.60,2.51
856,137.70,5.26
857,137.70,3.89
858,137.70,3.89
859,137.70,5.26
860,137.60,2.52
861,137.70,5.27
862,137.70,3.91
863,137.80,5.28
864,137.80,3.92
865,137.60,2.54
866,137.60,3.91
867,137.60,3.91
868,137.60,3.91
869,137.80,6.66
870,137.80,3.93
871,137.70,3.93
872,137.80,5.30
873,137.60,1.19
874,137.70,3.93
875,137.80,5.31
876,137.70,2.57
877,137.70,5.31
878,137.80,5.32
879,137.80,3.95
880,137.80,3.96
881,137.70,2.58
882,137.60,2.58
883,137.70,2.59
884,137.70,3.96
885,137.70,3.96
886,137.70,3.96
887,137.70,3.97
888,137.70,3.97
889,137.70,5.34
890,137.70,3.97
891,137.70,3.98
892,137.80,5.35
893,137.70,2.61
894,137.80,5.36
895,137.80,5.36
896,137.80,4.00
897,137.80,4.00
898,137.70,3.99
899,137.70,4.00
900,137.80,5.37
901,137.70,2.64
902,137.70,4.00
903,137.70,4.01
904,137.80,4.02
905,137.80,4.02
906,137.70,2.65
907,137.70,2.65
908,137.60,2.64
909,137.70,5.39
910,137.80,5.40
911,137.70,2.66
912,137.70,4.03
913,137.80,5.41
914,137.80,4.04
915,137.70,2.67
916,137.70,5.41
917,137.60,2.67
918,137.70,5.41
919,137.70,4.05
920,137.70,4.05
921,137.60,2.68
922,137.70,5.42
923,137.70,4.06
924,137.70,4.06
925,137.70,4.06
926,137.70,4.06
927,137.70,5.43
928,137.70,4.07
929,137.60,2.70
930,137.60,4.07
931,137.60,4.07
932,137.60,4.07
933,137.60,5.44
934,137.60,4.08
935,137.70,5.45
936,137.50,2.71
937,137.50,4.08
938,137.50,4.08
939,137.50,2.71
940,137.60,5.46
941,137.50,2.72
942,137.60,4.10
943,137.60,4.10
944,137.50,2.73
945,137.40,2.72
946,137.50,5.46
947,137.50,4.10
948,137.50,5.47
949,137.40,2.73
950,137.40,4.10
951,137.50,5.48
952,137.40,2.74
953,137.50,5.48
